Bill number,Supplier,Transaction date,Due date,Supplier invoice number,Amounts are,Item,Description,Account No.,No. of Unit,Unit Price,Discount %,Amount ($),Tax code,Tax amount ($),Job No.,Job name
MA05695060,BBC Digital,########,########,MA05695060,Tax exclusive,,,6-1919,1,148.82,,148.82,GST,14.88,,
2671,Urban Transport,########,########,2671,Tax exclusive,,,5-1441,1,"1,138.50",,"1,138.50",GST,113.85,,
381843,Newfurn Floor Coverings LTD,########,########,381843,Tax exclusive,,January Statement,5-1442,1,"44,399.71",,"44,399.71",GST,"4,439.97",,
381844,Newfurn Floor Coverings LTD,########,########,381844,Tax exclusive,,January Statement,5-1445,1,########,,########,GST,"22,786.21",,
9313,FCRC,########,########,9313,Tax exclusive,,,6-2024,1,885.82,,885.82,GST,88.58,,
6246029,Bremick Fasteners,########,########,6246029,Tax exclusive,,,5-1445,1,"1,282.40",,"1,282.40",GST,128.24,,
6244057,Bremick Fasteners,########,########,6244057,Tax exclusive,,,5-1445,1,345.52,,345.52,GST,34.55,,
35995,FBHS (Aust) Pty Ltd,########,########,35995,Tax exclusive,,Rex Richardson,5-1439,1,307.89,,307.89,GST,30.79,,
35869,FBHS (Aust) Pty Ltd,########,########,35869,Tax exclusive,,Dwayne Wrankmore,5-1439,1,179.05,,179.05,GST,17.91,,
35989,FBHS (Aust) Pty Ltd,########,########,35989,Tax exclusive,,Rex & Juliana Richardson,5-1439,1,223.88,,223.88,GST,22.39,,
35793,FBHS (Aust) Pty Ltd,########,########,35793,Tax exclusive,,Troy Amy,5-1439,1,861.95,,861.95,GST,86.2,,
36083,FBHS (Aust) Pty Ltd,########,########,36083,Tax exclusive,,Darren Mustow,5-1439,1,451.6,,451.6,GST,45.16,,
35779,FBHS (Aust) Pty Ltd,########,########,35779,Tax exclusive,,Steve & Sharon Jervis,5-1439,1,579.65,,579.65,GST,57.97,,
R24048,Coast Wide Certification,########,########,R24048,Tax exclusive,,30 Boys ave,5-1439,1,818.18,,818.18,GST,81.82,,
R24045,Coast Wide Certification,########,########,R24045,Tax exclusive,,111 Ariadne street,5-1439,1,818.18,,818.18,GST,81.82,,
R24047,Coast Wide Certification,########,########,R24047,Tax exclusive,,12 Hillcrest ave,5-1439,1,818.18,,818.18,GST,81.82,,
CAR24/0030,FCRC,########,########,CAR24/0030,Tax exclusive,,,5-1439,1,480,,480,GST,48,,
CAR24/0033,FCRC,########,########,CAR24/0033,Tax exclusive,,,5-1439,1,480,,480,GST,48,,
6248348,Bremick Fasteners,########,########,6248348,Tax exclusive,,,5-1445,1,291.71,,291.71,GST,29.17,,
81,Dundowran Floorcoverings,########,########,81,Tax exclusive,,Flooring installation,5-1445,1,"1,386.28",,"1,386.28",GST,138.63,,
I50130,Gibbon Group,########,########,I50130,Tax exclusive,,,5-1445,1,42.3,,42.3,GST,4.23,,
996404844,Cars Plus Mechanical,########,########,9.96E+08,Tax exclusive,,Service. 37546KM,6-1855,1,520.45,,520.45,GST,52.05,,
35645,FBHS (Aust) Pty Ltd,########,########,35645,Tax exclusive,,Taylah & Dylan Smith,5-1439,1,312.84,,312.84,GST,31.28,,
35808,FBHS (Aust) Pty Ltd,########,########,35808,Tax exclusive,,Anna Stern,5-1439,1,311.61,,311.61,GST,31.16,,
86471,Advance Metal Industries Aust.,########,########,86471,Tax exclusive,,,5-1445,1,530.3,,530.3,GST,53.03,,
86502,Advance Metal Industries Aust.,########,########,86502,Tax exclusive,,,5-1445,1,307.4,,307.4,GST,30.74,,
910,Fraser Coast Shed Builders Pty Ltd,########,########,910,Tax exclusive,,,5-1445,1,"3,483.64",,"3,483.64",GST,348.36,,
911,Fraser Coast Shed Builders Pty Ltd,########,########,911,Tax exclusive,,Cate & Bevan Kunda,5-1445,1,"4,145.45",,"4,145.45",GST,414.55,,
32,Hervey Bay Concreting,########,########,32,Tax exclusive,,Waugh street,5-1445,1,"1,875.00",,"1,875.00",GST,187.5,,
475,Pups Concreting,########,########,475,Tax exclusive,,19 Gibbs street,5-1445,1,"5,662.73",,"5,662.73",GST,566.27,,
20247646,Rapid Building Approval,########,########,20247646,Tax exclusive,,Lor 222 (39) Bayrise drive,5-1439,1,722.73,,722.73,GST,72.27,,
34 part 2,Terry Lambert,########,########,34 part 2,Tax exclusive,,Flooring Installation,5-1445,1,592.05,,592.05,N-T,0,,
9.02.24,MBS,########,########,9.02.24,Tax exclusive,,,5-1445,1,255.45,,255.45,GST,25.55,,
10448-50154,Admired Flooring,########,########,10448-50154,Tax exclusive,,,5-1445,1,"1,235.27",,"1,235.27",GST,123.53,,
996404852,Cars Plus Mechanical,########,########,9.96E+08,Tax exclusive,,Service. 60459KM,6-1847,1,415,,415,GST,41.5,,
382193,Queensland Transport,########,########,382193,Tax exclusive,,Rego,6-1783,1,768.77,,768.77,GST,76.88,,
40,Ketter Family Trust,########,########,40,Tax exclusive,,Floor Installations,5-1445,1,"11,859.05",,"11,859.05",GST,"1,185.91",,
36,Gmac Floors,########,########,36,Tax exclusive,,Flooring Installation,5-1445,1,"4,357.91",,"4,357.91",GST,435.79,,
CAR24/0036,FCRC,########,########,CAR24/0036,Tax exclusive,,,5-1439,1,480,,480,GST,48,,
36003,FBHS (Aust) Pty Ltd,########,########,36003,Tax exclusive,,Caitlin Winen & Christian Price,5-1439,1,309.18,,309.18,GST,30.92,,
913,Fraser Coast Shed Builders Pty Ltd,########,########,913,Tax exclusive,,,5-1445,1,181.82,,181.82,GST,18.18,,
10402,A.T. Concreting,########,########,10402,Tax exclusive,,1151 river road,5-1445,1,"6,363.64",,"6,363.64",GST,636.36,,
12.02.24,National Tiles,########,########,12.02.24,Tax exclusive,,Statement dated 12.02.24,5-1445,1,"17,447.46",,"17,447.46",GST,"1,744.75",,
1076,A & I Transport,########,########,1076,Tax exclusive,,Tile delivery,5-1438,1,"1,000.00",,"1,000.00",GST,100,,
30992,Daisys Phone Repairs,########,########,30992,Tax exclusive,,Screen Repair - Collin Tablet,6-2013,1,200,,200,GST,20,,
382282,wholesalecomms,########,########,382282,Tax exclusive,,,6-1924,1,269.6,,269.6,GST,26.96,,
382283,wholesalecomms,########,########,382283,Tax exclusive,,,6-1924,1,180.35,,180.35,GST,18.04,,
78,The France Family Trust,########,########,78,Tax exclusive,,Flooring Installations,5-1442,1,454,,454,N-T,0,,
184-50599,AusFlooring,########,########,184-50599,Tax exclusive,,Flooring Installation,5-1445,1,"1,407.20",,"1,407.20",GST,140.72,,
185-50605,AusFlooring,########,########,185-50605,Tax exclusive,,Flooring Installation,5-1445,1,"1,201.90",,"1,201.90",GST,120.19,,
15-50376,Shawn Hills,########,########,15-50376,Tax exclusive,,Flooring installation,5-1442,1,"2,777.88",,"2,777.88",N-T,0,,
1742,The Flooring Co,########,########,1742,Tax exclusive,,Flooring installation,5-1442,1,"1,931.69",,"1,931.69",GST,193.17,,
1743,The Flooring Co,########,########,1743,Tax exclusive,,Flooring installation,5-1442,1,792.86,,792.86,GST,79.29,,
2488,Briggs Clarken,########,########,2488,Tax exclusive,,Installations,5-1442,1,"1,209.62",,"1,209.62",GST,120.96,,
2489,Briggs Clarken,########,########,2489,Tax exclusive,,Installations,5-1442,1,"4,143.60",,"4,143.60",GST,414.36,,
17-50468,Charles Galea,########,########,17-50468,Tax exclusive,,Flooring installation,5-1445,1,"1,412.80",,"1,412.80",GST,141.28,,
16-50421,Charles Galea,########,########,16-50421,Tax exclusive,,Flooring installation,5-1445,1,120.56,,120.56,GST,12.06,,
28,Robert Spoltaric,########,########,28,Tax exclusive,,Flooring installation,5-1445,1,"3,667.46",,"3,667.46",N-T,0,,
241211,All Aussie Lawns & Maintenance,########,########,241211,Tax exclusive,,Slash vacant bock,5-1445,1,120,,120,N-T,0,,
10464,Admired Flooring,########,########,10464,Tax exclusive,,,5-1445,1,"1,243.63",,"1,243.63",GST,124.36,,
51186,Allstrong Locksmiths and Security,########,########,51186,Tax exclusive,,,5-1445,1,16.82,,16.82,GST,1.68,,
CAR24/0040,FCRC,########,########,CAR24/0040,Tax exclusive,,,5-1439,1,480,,480,GST,48,,
278,A&C Mac Concreting,########,########,278,Tax exclusive,,19 Pristine place,5-1445,1,"14,727.27",,"14,727.27",GST,"1,472.73",,
ADG3961182,C & L Kertland Pty Ltd,########,########,ADG3961182,Tax exclusive,,Garry & Corrine McEwan,5-1445,1,"13,863.64",,"13,863.64",GST,"1,386.36",,
36122,FBHS (Aust) Pty Ltd,########,########,36122,Tax exclusive,,Ross Chapman,5-1439,1,312.58,,312.58,GST,31.26,,
36164,FBHS (Aust) Pty Ltd,########,########,36164,Tax exclusive,,David Turner,5-1439,1,460.4,,460.4,GST,46.04,,
36165,FBHS (Aust) Pty Ltd,########,########,36165,Tax exclusive,,Mark Hedley,5-1439,1,308.5,,308.5,GST,30.85,,
20247689,Rapid Building Approval,########,########,20247689,Tax exclusive,,Lot 111 (10) Noeme street,5-1439,1,722.73,,722.73,GST,72.27,,
20247686,Rapid Building Approval,########,########,20247686,Tax exclusive,,Lot 86 (10) O'Regan drive,5-1439,1,722.73,,722.73,GST,72.27,,
20247687,Rapid Building Approval,########,########,20247687,Tax exclusive,,Lot 78 (25) Woongoolbver court,5-1439,1,722.73,,722.73,GST,72.27,,
20247693,Rapid Building Approval,########,########,20247693,Tax exclusive,,Lot 182 (16) Herrenberg street,5-1439,1,722.73,,722.73,GST,72.27,,
20247692,Rapid Building Approval,########,########,20247692,Tax exclusive,,Lot 16 (116) Doolong road,5-1439,1,722.73,,722.73,GST,72.27,,
20247704,Rapid Building Approval,########,########,20247704,Tax exclusive,,Lot 185 (16) Edgecumber close,5-1439,1,722.73,,722.73,GST,72.27,,
20247705,Rapid Building Approval,########,########,20247705,Tax exclusive,,Lot 85 (11) Woongoolbver court,5-1439,1,722.73,,722.73,GST,72.27,,
R24054,Coast Wide Certification,########,########,R24054,Tax exclusive,,54 Dayman street,5-1439,1,818.18,,818.18,GST,81.82,,
R24053,Coast Wide Certification,########,########,R24053,Tax exclusive,,39 Louden close,5-1439,1,909.09,,909.09,GST,90.91,,
R24056,Coast Wide Certification,########,########,R24056,Tax exclusive,,11 Blackbutt st,5-1439,1,818.18,,818.18,GST,81.82,,
R24059,Coast Wide Certification,########,########,R24059,Tax exclusive,,52 Bayrise drive,5-1439,1,818.18,,818.18,GST,81.82,,
R24061,Coast Wide Certification,########,########,R24061,Tax exclusive,,12 Clearwater crescent,5-1439,1,863.64,,863.64,GST,86.36,,
R24062,Coast Wide Certification,########,########,R24062,Tax exclusive,,94-96 Garden drive,5-1439,1,863.64,,863.64,GST,86.36,,
6266863,Bremick Fasteners,########,########,6266863,Tax exclusive,,,5-1445,1,848.25,,848.25,GST,84.82,,
6254519,Bremick Fasteners,########,########,6254519,Tax exclusive,,,5-1445,1,271.61,,271.61,GST,27.16,,
6254275,Bremick Fasteners,########,########,6254275,Tax exclusive,,,5-1445,1,164.53,,164.53,GST,16.45,,
6253786,Bremick Fasteners,########,########,6253786,Tax exclusive,,,5-1445,1,471.67,,471.67,GST,47.17,,
6253719,Bremick Fasteners,########,########,6253719,Tax exclusive,,,5-1445,1,348.83,,348.83,GST,34.88,,
6253663,Bremick Fasteners,########,########,6253663,Tax exclusive,,,5-1445,1,232.5,,232.5,GST,23.25,,
86698,Advance Metal Industries Aust.,########,########,86698,Tax exclusive,,,5-1445,1,"1,650.07",,"1,650.07",GST,165.01,,
86713,Advance Metal Industries Aust.,########,########,86713,Tax exclusive,,,5-1445,1,265.15,,265.15,GST,26.52,,
86724,Advance Metal Industries Aust.,########,########,86724,Tax exclusive,,,5-1445,1,265.15,,265.15,GST,26.52,,
86584,Advance Metal Industries Aust.,########,########,86584,Tax exclusive,,,5-1445,1,265.15,,265.15,GST,26.52,,
382316,Fraser Coast Shed Builders Pty Ltd,########,########,382316,Tax exclusive,,Shed Commission,5-1445,1,"2,727.27",,"2,727.27",GST,272.73,,
382317,Matthew Hearps,########,########,382317,Tax exclusive,,Monthly Rebate,5-1445,1,"2,727.27",,"2,727.27",GST,272.73,,
20247732,Rapid Building Approval,########,########,20247732,Tax exclusive,,Lot 159 (30) Vaughan street,5-1439,1,722.73,,722.73,GST,72.27,,
20247727,Rapid Building Approval,########,########,20247727,Tax exclusive,,Lot 1 (207) Thyme Resort,5-1439,1,722.73,,722.73,GST,72.27,,
CAR24/0042,FCRC,########,########,CAR24/0042,Tax exclusive,,,5-1439,1,480,,480,GST,48,,
CAR24/0041,FCRC,########,########,CAR24/0041,Tax exclusive,,,5-1439,1,480,,480,GST,48,,
10415,A.T. Concreting,########,########,10415,Tax exclusive,,24 Periwrinkle crescent,5-1445,1,"8,160.91",,"8,160.91",GST,816.09,,
914,Fraser Coast Shed Builders Pty Ltd,########,########,914,Tax exclusive,,Lindsey De Soyza,5-1445,1,"5,272.73",,"5,272.73",GST,527.27,,
90063193,Fletcher Insulation,########,########,90063193,Tax exclusive,,Foam Cell liner,5-1445,1,"13,037.00",,"13,037.00",GST,"1,303.70",,
84858-1,Watkins Electrical,########,########,84858-1,Tax exclusive,,Fitted 8 x 7 plug tops,5-1445,1,123.55,,123.55,GST,12.36,,
82,Dundowran Floorcoverings,########,########,82,Tax exclusive,,Flooring installation,5-1445,1,"1,064.09",,"1,064.09",GST,106.41,,
S58077,Show Off Home Improvements,########,########,S58077,Tax exclusive,,Supply only 5 x Flame retardant brush seals,5-1445,1,945.45,,945.45,GST,94.55,,
14-50347,Nick Burke,########,########,14-50347,Tax exclusive,,,5-1445,1,"2,799.58",,"2,799.58",GST,279.96,,
382612,Telstra,########,########,382612,Tax exclusive,,,6-2013,1,"2,081.81",,"2,081.81",GST,208.18,,
37,Gmac Floors,########,########,37,Tax exclusive,,Flooring Installation,5-1445,1,"3,116.27",,"3,116.27",GST,311.63,,
35,Terry Lambert,########,########,35,Tax exclusive,,Flooring Installation,5-1445,1,"4,482.30",,"4,482.30",N-T,0,,
20-50746,Darren Kennedy,########,########,20-50746,Tax exclusive,,Floor Installations,5-1445,1,"2,356.96",,"2,356.96",GST,235.7,,
23-50915,Charles Galea,########,########,23-50915,Tax exclusive,,Flooring installation,5-1445,1,445.9,,445.9,GST,44.59,,
22-50868,Charles Galea,########,########,22-50868,Tax exclusive,,Flooring installation,5-1445,1,332.4,,332.4,GST,33.24,,
21-50816,Charles Galea,########,########,21-50816,Tax exclusive,,Flooring installation,5-1445,1,326.2,,326.2,GST,32.62,,
18-50565,Charles Galea,########,########,18-50565,Tax exclusive,,Flooring installation,5-1445,1,697.17,,697.17,GST,69.72,,
19-50654,Charles Galea,########,########,19-50654,Tax exclusive,,Flooring installation,5-1445,1,550.4,,550.4,GST,55.04,,
20-50747,Charles Galea,########,########,20-50747,Tax exclusive,,Flooring installation,5-1445,1,133.7,,133.7,GST,13.37,,
6259789,Bremick Fasteners,########,########,6259789,Tax exclusive,,,5-1445,1,322.37,,322.37,GST,32.24,,
6259880,Bremick Fasteners,########,########,6259880,Tax exclusive,,,5-1445,1,451.87,,451.87,GST,45.19,,
1915,Superior Timber Floors QLD,########,########,1915,Tax exclusive,,Flooring install,5-1445,1,"1,258.56",,"1,258.56",GST,125.86,,
1914,Superior Timber Floors QLD,########,########,1914,Tax exclusive,,Flooring install,5-1445,1,"1,459.93",,"1,459.93",GST,145.99,,
1913,Superior Timber Floors QLD,########,########,1913,Tax exclusive,,Flooring install,5-1445,1,"1,459.93",,"1,459.93",GST,145.99,,
1916,Superior Timber Floors QLD,########,########,1916,Tax exclusive,,Flooring install,5-1445,1,"1,762.01",,"1,762.01",GST,176.2,,
1912,Superior Timber Floors QLD,########,########,1912,Tax exclusive,,Flooring install,5-1445,1,"1,762.01",,"1,762.01",GST,176.2,,
182-50589,Paul Wignall,########,########,182-50589,Tax exclusive,,12 Waugh street,5-1445,1,"2,290.00",,"2,290.00",N-T,0,,
CAR24/0045,FCRC,########,########,CAR24/0045,Tax exclusive,,,5-1439,1,480,,480,GST,48,,
70,William Howard,########,########,70,Tax exclusive,,Vinyl Plank Installation,5-1445,1,"3,108.14",,"3,108.14",N-T,0,,
ADG3961183,C & L Kertland Pty Ltd,########,########,ADG3961183,Tax exclusive,,19 Pristine place,5-1445,1,"6,838.18",,"6,838.18",GST,683.82,,
15-50377,Nick Burke,########,########,15-50377,Tax exclusive,,,5-1445,1,"4,435.47",,"4,435.47",GST,443.55,,
329,Brydon Bounsall,########,########,329,Tax exclusive,,Flooring Installation,5-1445,1,854.1,,854.1,GST,85.41,,
24031,River Heads Flooring,########,########,24031,Tax exclusive,,Flooring installation,5-1445,1,"6,685.76",,"6,685.76",GST,668.58,,
19.02.24,National Tiles,########,########,19.02.24,Tax exclusive,,Statement dated 19.02.24,5-1445,1,"15,195.75",,"15,195.75",GST,"1,519.58",,
86843,Advance Metal Industries Aust.,########,########,86843,Tax exclusive,,,5-1445,1,265.15,,265.15,GST,26.52,,
86829,Advance Metal Industries Aust.,########,########,86829,Tax exclusive,,,5-1445,1,423.93,,423.93,GST,42.39,,
86827,Advance Metal Industries Aust.,########,########,86827,Tax exclusive,,,5-1445,1,265.15,,265.15,GST,26.52,,
86813,Advance Metal Industries Aust.,########,########,86813,Tax exclusive,,,5-1445,1,530.3,,530.3,GST,53.03,,
184-50601,Soul Floors,########,########,184-50601,Tax exclusive,,Flooring installation,5-1445,1,"1,345.40",,"1,345.40",GST,134.54,,
185-50608,Soul Floors,########,########,185-50608,Tax exclusive,,Flooring installation,5-1445,1,"1,345.40",,"1,345.40",GST,134.54,,
6260886,Bremick Fasteners,########,########,6260886,Tax exclusive,,,5-1445,1,248.01,,248.01,GST,24.8,,
6259313,Bremick Fasteners,########,########,6259313,Tax exclusive,,,5-1445,1,256.6,,256.6,GST,25.66,,
6260884,Bremick Fasteners,########,########,6260884,Tax exclusive,,,5-1445,1,317.91,,317.91,GST,31.79,,
7,C Tucker,########,########,7,Tax exclusive,,Flooring installation,5-1445,1,"5,772.11",,"5,772.11",GST,577.21,,
8,C Tucker,########,########,8,Tax exclusive,,Flooring installation,5-1445,1,"5,618.12",,"5,618.12",GST,561.81,,
41,Ketter Family Trust,########,########,41,Tax exclusive,,Floor Installations,5-1445,1,"6,833.55",,"6,833.55",GST,683.35,,
10492,Admired Flooring,########,########,10492,Tax exclusive,,,5-1445,1,244,,244,GST,24.4,,
79,The France Family Trust,########,########,79,Tax exclusive,,Flooring Installations,5-1442,1,"2,021.65",,"2,021.65",N-T,0,,
191-50674,AusFlooring,########,########,191-50674,Tax exclusive,,Flooring Installation,5-1445,1,"2,365.44",,"2,365.44",GST,236.54,,
16-50422,Shawn Hills,########,########,16-50422,Tax exclusive,,Flooring installation,5-1442,1,"1,619.55",,"1,619.55",N-T,0,,
1748,The Flooring Co,########,########,1748,Tax exclusive,,Flooring installation,5-1442,1,601.2,,601.2,GST,60.12,,
2491,Briggs Clarken,########,########,2491,Tax exclusive,,Installations,5-1442,1,"5,014.04",,"5,014.04",GST,501.4,,
2492,Briggs Clarken,########,########,2492,Tax exclusive,,Installations,5-1442,1,"4,156.81",,"4,156.81",GST,415.68,,
2494,Briggs Clarken,########,########,2494,Tax exclusive,,Installations,5-1442,1,"2,432.70",,"2,432.70",GST,243.27,,
56,Michael Avery,########,########,56,Tax exclusive,,Floor Installations,5-1442,1,"1,657.84",,"1,657.84",GST,165.78,,
816,Warwicks Carpets Pty Ltd,########,########,816,Tax exclusive,,Carpet Installations,5-1442,1,"1,752.73",,"1,752.73",GST,175.27,,
R24073,Coast Wide Certification,########,########,R24073,Tax exclusive,,21 Fairway drive,5-1439,1,777.27,,777.27,GST,77.73,,
R24070,Coast Wide Certification,########,########,R24070,Tax exclusive,,18 Watermelon way,5-1439,1,777.27,,777.27,GST,77.73,,
R24069,Coast Wide Certification,########,########,R24069,Tax exclusive,,4 Eds Place,5-1439,1,777.27,,777.27,GST,77.73,,
20247814,Rapid Building Approval,########,########,20247814,Tax exclusive,,Lot 10 (165) Truro street,5-1439,1,722.73,,722.73,GST,72.27,,
20247815,Rapid Building Approval,########,########,20247815,Tax exclusive,,Lot 43 (4) halcyon drive,5-1439,1,722.73,,722.73,GST,72.27,,
20247786,Rapid Building Approval,########,########,20247786,Tax exclusive,,Lot 52 (40) Heather way,5-1439,1,722.73,,722.73,GST,72.27,,
20247787,Rapid Building Approval,########,########,20247787,Tax exclusive,,Lot 96 (9) Windward way,5-1439,1,722.73,,722.73,GST,72.27,,
6267373,Bremick Fasteners,########,########,6267373,Tax exclusive,,,5-1445,1,141.15,,141.15,GST,14.11,,
6266673,Bremick Fasteners,########,########,6266673,Tax exclusive,,,5-1445,1,"1,205.84",,"1,205.84",GST,120.58,,
6262583,Bremick Fasteners,########,########,6262583,Tax exclusive,,,5-1445,1,198.15,,198.15,GST,19.82,,
6262117,Bremick Fasteners,########,########,6262117,Tax exclusive,,,5-1445,1,463.64,,463.64,GST,46.36,,
6260998,Bremick Fasteners,########,########,6260998,Tax exclusive,,,5-1445,1,234.25,,234.25,GST,23.43,,
25320,Bay Powder Coating,########,########,25320,Tax exclusive,,,5-1445,1,218.18,,218.18,GST,21.82,,
ADG3961184,C & L Kertland Pty Ltd,########,########,ADG3961184,Tax exclusive,,Steve Dessent,5-1445,1,"3,272.73",,"3,272.73",GST,327.27,,
241298,All Aussie Lawns & Maintenance,########,########,241298,Tax exclusive,,Slash vacant bock,5-1445,1,200,,200,N-T,0,,
CAR24/0050,FCRC,########,########,CAR24/0050,Tax exclusive,,,5-1439,1,480,,480,GST,48,,
383123,Australian Tax Office,########,########,383123,Tax exclusive,,BAS January 2024,2-1291,1,########,,########,N-T,0,,
1151520,Paul Johnston Overlocking,########,########,1151520,Tax exclusive,,Strang,5-1445,1,118.18,,118.18,GST,11.82,,
29,Robert Spoltaric,########,########,29,Tax exclusive,,Flooring installation,5-1445,1,"2,441.31",,"2,441.31",N-T,0,,
20247840,Rapid Building Approval,########,########,20247840,Tax exclusive,,Lot 6 (117) Canbridge street,5-1439,1,722.73,,722.73,GST,72.27,,
20247848,Rapid Building Approval,########,########,20247848,Tax exclusive,,Lot 19 (17) Treasure street,5-1439,1,722.73,,722.73,GST,72.27,,
20247850,Rapid Building Approval,########,########,20247850,Tax exclusive,,Lot 22 (7) Kingston close,5-1439,1,722.73,,722.73,GST,72.27,,
6264415,Bremick Fasteners,########,########,6264415,Tax exclusive,,,5-1445,1,208.98,,208.98,GST,20.9,,
6265240,Bremick Fasteners,########,########,6265240,Tax exclusive,,,5-1445,1,393.54,,393.54,GST,39.35,,
86948,Advance Metal Industries Aust.,########,########,86948,Tax exclusive,,,5-1445,1,"1,955.39",,"1,955.39",GST,195.54,,
86970,Advance Metal Industries Aust.,########,########,86970,Tax exclusive,,,5-1445,1,922.2,,922.2,GST,92.22,,
36210,FBHS (Aust) Pty Ltd,########,########,36210,Tax exclusive,,Thomas Clancy,5-1439,1,308.57,,308.57,GST,30.86,,
36246,FBHS (Aust) Pty Ltd,########,########,36246,Tax exclusive,,Troy Stacey,5-1439,1,179.05,,179.05,GST,17.91,,
35962,FBHS (Aust) Pty Ltd,########,########,35962,Tax exclusive,,Nick Maahs,5-1439,1,311.56,,311.56,GST,31.16,,
36160,FBHS (Aust) Pty Ltd,########,########,36160,Tax exclusive,,Alison Kelly,5-1439,1,309.6,,309.6,GST,30.96,,
36076,FBHS (Aust) Pty Ltd,########,########,36076,Tax exclusive,,Josh Andersen,5-1439,1,179.05,,179.05,GST,17.91,,
36313,FBHS (Aust) Pty Ltd,########,########,36313,Tax exclusive,,Rob Chuck,5-1439,1,179.05,,179.05,GST,17.91,,
34,Hervey Bay Concreting,########,########,34,Tax exclusive,,639 BHD,5-1445,1,"3,300.00",,"3,300.00",GST,330,,
35,Hervey Bay Concreting,########,########,35,Tax exclusive,,52 Senorita,5-1445,1,"11,159.03",,"11,159.03",GST,"1,115.90",,
R24080,Coast Wide Certification,########,########,R24080,Tax exclusive,,3 Queben court,5-1439,1,777.27,,777.27,GST,77.73,,
R24079,Coast Wide Certification,########,########,R24079,Tax exclusive,,382 Bidwill road,5-1439,1,863.64,,863.64,GST,86.36,,
CAR24/0059,FCRC,########,########,CAR24/0059,Tax exclusive,,,5-1439,1,480,,480,GST,48,,
915,Fraser Coast Shed Builders Pty Ltd,########,########,915,Tax exclusive,,Kerry Nelsen,5-1445,1,"7,772.73",,"7,772.73",GST,777.27,,
115-50232,Intensity Car Care,########,########,115-50232,Tax exclusive,,Maintenance Detail,6-1776,1,109.09,,109.09,GST,10.91,,
868,Touching Hearts Animal Rescue,########,########,868,Tax exclusive,,,6-1489,1,"3,400.00",,"3,400.00",FRE,0,,
UHI February,Nanas Animal Rescue Inc,########,########,UHI February,Tax exclusive,,Feburary donation,6-1489,1,750,,750,N-T,0,,
1811524-BUN-50583,Steamatic,########,########,1811524-BUN-50583,Tax exclusive,,Mould remediation works at 39 North Shoe Toogoom,5-1445,1,775.45,,775.45,GST,77.55,,
2402,Kirkland Homes Pty Ltd,########,########,2402,Tax exclusive,,Patio Installations,5-1445,1,"2,723.64",,"2,723.64",GST,272.36,,
3890,Trai's Gardening & Lawn Maintenance,########,########,3890,Tax exclusive,,Gardens,6-1507,1,181.82,,181.82,GST,18.18,,
383274,Queensland Transport,########,########,383274,Tax exclusive,,Rego,6-1822,1,810.95,,810.95,GST,81.1,,
383275,Ergon Energy,########,########,383275,Tax exclusive,,,6-1495,1,115.93,,115.93,GST,11.59,,
25-501046,Charles Galea,########,########,25-501046,Tax exclusive,,Flooring installation,5-1445,1,597.7,,597.7,GST,59.77,,
24-50982,Charles Galea,########,########,24-50982,Tax exclusive,,Flooring installation,5-1445,1,393.9,,393.9,GST,39.39,,
26,Charles Galea,########,########,26,Tax exclusive,,Flooring installation,5-1445,1,326.2,,326.2,GST,32.62,,
27,Charles Galea,########,########,27,Tax exclusive,,Flooring installation,5-1445,1,320,,320,GST,32,,
64,Sean Schmitz,########,########,64,Tax exclusive,,Flooring installation,5-1445,1,"3,198.58",,"3,198.58",N-T,0,,
38,Gmac Floors,########,########,38,Tax exclusive,,Flooring Installation,5-1445,1,"3,511.20",,"3,511.20",GST,351.12,,
36035,FBHS (Aust) Pty Ltd,########,########,36035,Tax exclusive,,Chris Hughes,5-1439,1,310.03,,310.03,GST,31,,
36303,FBHS (Aust) Pty Ltd,########,########,36303,Tax exclusive,,Chris Hughes,5-1439,1,311.56,,311.56,GST,31.16,,
35924,FBHS (Aust) Pty Ltd,########,########,35924,Tax exclusive,,Chris Hughes,5-1439,1,592.55,,592.55,GST,59.26,,
362.64,FBHS (Aust) Pty Ltd,########,########,362.64,Tax exclusive,,Karen McClelland,5-1439,1,309.52,,309.52,GST,30.95,,
36263,FBHS (Aust) Pty Ltd,########,########,36263,Tax exclusive,,Martyn Chouchman,5-1439,1,179.05,,179.05,GST,17.91,,
36221,FBHS (Aust) Pty Ltd,########,########,36221,Tax exclusive,,Jim Walford,5-1439,1,305.95,,305.95,GST,30.6,,
35935,FBHS (Aust) Pty Ltd,########,########,35935,Tax exclusive,,Tim & Sharon Dwyer,5-1439,1,311.67,,311.67,GST,31.17,,
34402,FBHS (Aust) Pty Ltd,########,########,34402,Tax exclusive,,Gary Brown,5-1439,1,436.99,,436.99,GST,43.7,,
R24094,Coast Wide Certification,########,########,R24094,Tax exclusive,,30 Wesringia drive,5-1439,1,863.64,,863.64,GST,86.36,,
R24091,Coast Wide Certification,########,########,R24091,Tax exclusive,,39 Finch st,5-1439,1,777.27,,777.27,GST,77.73,,
R24090,Coast Wide Certification,########,########,R24090,Tax exclusive,,9-11 Jensen ave,5-1439,1,863.64,,863.64,GST,86.36,,
R24089,Coast Wide Certification,########,########,R24089,Tax exclusive,,241 O'Regan Creek road,5-1439,1,863.64,,863.64,GST,86.36,,
